doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1016.j.ymben.2013.01.008,"['1-propanol', '1-propanol (1-propanol)', 'Acetate (Acetate)', 'acetate', 'acetate (acetate)', 'lactate', 'lactate (lactate)']","['1.5 to 2 g/L', '0.15 g/g of glucose', '0.11 g/g of glucose', '0.09 g/g of glucose', '8 g/L', '1 g/L', '3 g/L', '2.5 g/L', '0.25 g/L', 'less than 1 g/L', '5 g/L', '0.25 to 2.5 g/L', '43 g/L', '2 g/L', '7.5 g/L', '0.09 to 0.11 g/g of glucose']","['M9', 'M9 + 36 g/L glucose', 'M9 + 72 g/L glucose']","['Glucose', 'glucose']","['5.5-6.5', '7', 'Adjusted daily', 'Not specified', 'adjusted to 7']","['-', '30°C', '37°C', '37°C (30°C post-induction)', 'Not specified']","['Micro-aerobic', 'micro-aerobic']","['250 mL screwed-cap flask, batch culture', '250 mL screwed-cap flask, serial medium exchange', 'Screwed-cap flasks']","['ADH2', 'AdhE', 'BC', 'Frd', 'Kivd', 'LdhA', 'LeuABCD', 'PoxB', 'Pta', 'YqhD', 'adhE', 'arcA', 'avtA', 'cimA2D', 'citramalate pathway', 'fbr', 'frdA', 'gltA', 'iclR', 'ilvA', 'kivd', 'ldhA', 'leuA', 'leuABCD', 'leuBCD', 'poxB', 'pta', 'tdc', 'tdcE', 'thrA', 'thrA fbr BC', 'thrB', 'threonine pathway', 'yqhD']"
10.1016.j.ymben.2013.05.004,"[' (Limonene)', 'POH', 'POH (perillyl alcohol)', 'acetylated POH', 'acetylated POH (Acetylated Perillyl Alcohol)', 'limonene', 'limonene (limonene)', 'perillyl alcohol', 'perillyl alcohol (perillyl alcohol)']","['34 mg/L', '70 mg/L', '105 mg/L', '187 mg/L', '2 mg/L', '40 mg/L', '435 mg/L', '30 mg/L', '27 mg/L/OD', '335 mg/L']","['', 'EZ-Rich defined medium with 1% glucose, 10 mM arabinose', 'EZ-Rich defined medium with 1% glucose, 25 μM IPTG', 'EZ-Rich defined medium with 1% glucose, 500 μM IPTG', 'EZ-Rich defined medium with chloramphenicol and 10 mM arabinose']","['', 'glucose, IPTG', 'glucose, arabinose']","['', 'not specified']","['', '30°C']","['', 'not specified']","['', 'batch']","['CAT', 'GPPS', 'HMGR', 'HMGS', 'LS', 'MBI', 'MK', 'MTSA', 'P450', 'PMD', 'PMK', 'ahpGHI', 'atoB', 'idi', 'lacI', 'lacI q', 'limonene synthase']"
10.1016.j.ymben.2014.02.009,"['MA', 'MA (Muconic acid)', 'SA', 'SA (Salicylic acid)', 'acetate']","['177.95 mg/L', '778.16 mg/L', '1453.64 mg/L', '621.05 mg/L', '1179.92 mg/L', '207.20 mg/L', '1.5-2.5 g/L', '5.27 mg/L', '1425.71 mg/L', '2313.0 mg/L', '158.5 mg/L', '813.97 mg/L', '938.4 mg/L']",['M9Y'],"['Glucose, Glycerol', 'Glycerol', 'Glycerol, Glucose']",['N/A'],['37°C'],['N/A'],"['Batch', 'Fed-batch', 'Fed-batch (3 mM/h SA)']","['APTA', 'CDO', 'EP', 'EntC', 'ICS', 'IPL', 'PchB', 'SMO', 'aroG', 'aroG fbr', 'aroL', 'catA', 'entC', 'nahG', 'nahG opt', 'paantABC', 'pchB', 'pfantABC', 'pheA', 'ppbenABCD', 'ppsA', 'tktA', 'trpD', 'tyrA']"
10.1016.j.ymben.2014.05.004,"['3-hydroxydecanoate (3HD)', '3-hydroxydecanoate (3HD) (3-hydroxydecanoate)', '3-hydroxyoctanoate (3HO)', '3-hydroxyoctanoate (3HO) (3-hydroxyoctanoate)', 'mcl-PHA copolymers', 'mcl-PHA copolymers (medium-chain-length polyhydroxyalkanoates copolymers)', 'polyhydroxybutyrate (PHB)', 'polyhydroxybutyrate (PHB) (polyhydroxybutyrate)', 'scl-mcl PHA copolymer']","['6.62 wt%', '6.28 wt%', '12.10 wt%', '2.04 wt%', '4.01 wt%', '0.39 wt%', '1.25 wt%', '0.50 wt%', '11.20 wt%', '1.99 wt%', '5.07 wt%', '7.38 wt%', '0.23 wt%', '12.10 g/l', '7.38 g/l', '3.20 wt% of cellular dry weight (CDW)']",['shake flask'],['glucose'],['N/A'],"['30 °C', 'N/A']",['N/A'],['batch'],"['fadA', 'fadB', 'fadBA', 'phaC', 'phaC2', 'phaC2 Pa', 'phaC2 Ps', 'phaJ1', 'phaJ1 Pa', 'phbA', 'phbB', 'phbC', 'ptsG', 'ter', 'tesA', 'tesB', 'yciA', 'ydiO', 'yqeF']"
10.1016.j.ymben.2014.09.002,"['anteiso-branched fatty acids', 'anteiso-branched fatty acids (anteiso-branched fatty acids)', 'odd-carbon fatty acids']","['8.8% (Fig. 2)', '20.4% of the free fatty acids in the cell (Fig. 3)', '1532 mg/L', '9.9% (Fig. 4)']",['EZ-rich medium'],"['glucose', 'not specified']",['not specified'],"['30°C', '37°C']",['not specified'],['batch'],"['Bkd', 'FabA', 'FabB', 'IlvA', 'IlvCD', 'IlvGM', 'MetA', 'Tdh', 'ThrABC', 'bFabH', 'bFabH2', 'bfabH1', 'bfabH2', 'bkd', 'bkd operon', 'fadE', 'fadR', 'gfp', 'ilvA', 'ilvB', 'ilvC', 'ilvCD', 'ilvGM', 'ilvGMCD', 'ilvGMCDA', 'ilvI', 'ilvN', 'ilvY', 'metA', 'tdh', 'tesA', 'thrABC', 'thrL']"
10.1016.j.ymben.2014.11.007,"['beta-carotene', 'beta-carotene (beta-carotene)', 'carotenoids', 'carotenoids (carotenoids)', 'lycopene', 'lycopene (lycopene)', 'squalene', 'squalene (squalene)']","['2.56 mg/g DCW', '10.03 mg/g DCW', '15.52 mg/g DCW', '16.98 mg/g DCW', '18.75 mg/g DCW', '19.71 mg/g DCW', '7.25 mg/g DCW', '11.93 mg/g DCW', '9.64 mg/g DCW', '2.54 mg/g DCW', '22.43 mg/g DCW', '1156 mg/L', '14.4 mg/g DCW', '2.25 mg/g DCW', '10.1 mg/g DCW', '20.79 mg/g DCW']","['YPD', 'YPDG', 'YPG', 'calculated']","['-', 'Glucose', 'Glucose, Glycerol', 'Glycerol', 'glucose', 'glucose + glycerol']","['-', '5.0', 'N/A', 'not specified']","['-', '30 °C', '30°C']","['-', 'N/A', 'not specified']","['-', '2-stage fed-batch', 'Shake flask', 'shake flask']","['ACT1', 'CYC1', 'CrtE', 'CrtI', 'CrtYB', 'ERG9', 'GAL1', 'GAL10', 'GAL80', 'HIS3', 'HMG1', 'HXT1', 'LEU2', 'MET15', 'P BTS1', 'P ERG9', 'P HXT1', 'YPRCtau3', 'dpp1', 'gal80', 'ho', 'tHMG1']"
10.1016.j.ymben.2014.11.011,"['bisabolene', 'limonene', 'limonene (limonene)']","['605 mg/L', '1150 mg/L', '435718 mg/L', '435723 mg/L', '435 mg/L']",['EZ-Rich defined medium'],['1% glucose'],['-'],['30 °C'],['-'],['Batch'],"['AgBIS', 'AtoB', 'DMAPP synthase', 'GPP synthase', 'HMGR', 'HMGS', 'IPP synthase', 'IspA', 'LS', 'LacI', 'MK', 'PC2', 'PMD', 'PMK', 'hydroxymethylglutaryl-CoA reductase', 'hydroxymethylglutaryl-CoA synthase', 'idi', 'ispA', 'limonene synthase', 'mevalonate kinase', 'mevalonate-5-pyrophosphate decarboxylase', 'phosphomevalonate kinase', 'tr-GPPS(co)']"
10.1016.j.ymben.2014.12.002,"['(þ )-afzelechin', '(þ )-afzelechin ((þ )-afzelechin)', '(þ )-catechin', '(þ )-catechin ((þ )-catechin)', 'dihydrokaempferol (DHK)', 'dihydrokaempferol (DHK) (dihydrokaempferol (DHK))', 'dihydroquercetin (DHQ)', 'dihydroquercetin (DHQ) (dihydroquercetin)', 'luteoforol', 'luteoforol (luteoforol)']","['548.2738.5 mg/L', '709.8747.3 mg/L', '65.170.9 mg/L', '663.1753.4 mg/L', '234.470.9 mg/L', '467.7764.1 mg/L', '53.677.1 mg/L', '129.478.5 mg/L', '598.2761.9 mg/L', '754.07 5.3 mg/L', '130.872.0 mg/L', '386.0716.3 mg/L', '42.676.7 mg/L', '39.5±0.9 mg/L', '42.67 1.3 mg/L', '270.7719.0 mg/L', '65.171.2 mg/L', '646.5731.0 mg/L', '22.378.5 mg/L', '33.178.6 mg/L', '18.071.0 mg/L', '38.9±1.6 mg/L', '41.972.3 mg/L', '28.476.3 mg/L', '72.37 14.7 mg/L', '910.9761.3 mg/L', '16.871.7 mg/L', '760.9784.3 mg/L', '285 mg/L', '342.175.2 mg/L', '39.570.9 mg/L', '40.972.7 mg/L', '638.0777.6 mg/L', '374.6743.6 mg/L', '38.971.6 mg/L', '314.4740.7 mg/L', '560.5741.0 mg/L', '285.376.4 mg/L', '30.17 16.7 mg/L', '61.275.8 mg/L']","['1.0 g/L eriodictyol', '1.5 g/L eriodictyol', '1X-M9', '1X-M9 media', '2.0 g/L eriodictyol', '300 mg/L naringenin', '600 mg/L eriodictyol']","['0.4% D-glucose', 'D-glucose', 'Glucose']",['N/A'],"['30 1C', '30°C', '37°C', 'N/A']","['Limited', 'More Oxygen', 'N/A']","['Batch', 'Flask']","['AaDFR', 'AaDFR syn', 'CsDFR', 'CsDFR syn', 'CsF3H', 'CsF3H syn', 'CsLAR', 'CsLAR syn', 'DFR', 'DFR syn', 'DuLAR', 'DuLAR syn', 'F3H', 'F3H syn', 'FaDFR', 'FaDFR syn', 'LAR', 'LAR syn', 'MdF3H', 'MdF3H syn', 'PcF3H', 'PcF3H syn', 'pgi', 'ppc', 'ppg']"
10.1016.j.ymben.2015.04.003,"['fatty alcohols', 'fatty alcohols (fatty alcohols)', 'methyl ketones', 'methyl ketones (methyl ketones)']","['27.8 71.4 mg/L', '0.126 g F-OH/g glucose', '174.0 711.6 mg/L', '3.8270.050 g/L', '0.127 g F-OH/g glucose', '3.7870.090 g/L']",['M9 minimal'],['glucose'],['N/A'],"['30°C', '37°C']",['N/A'],['shake flask'],"[""'TesA"", 'FAS', 'FAS1A', 'FAS1B', 'FadB', 'FadD', 'FadM', 'MK', 'Maqu2220', 'Mlut_11700', 'RFP', 'TesA', 'acpS', 'araD', 'cgFAS1A', 'fadB', 'fadD', 'fadE', 'fadM', 'fas-IA', 'fas-IB', 'fasI', 'mlut_11700', 'tesA']"
10.1016.j.ymben.2015.04.009,"['carotenoids', 'carotenoids (carotenoids)', 'lycopene', 'lycopene (lycopene)', 'squalene', 'squalene (squalene)']","['9.67 mg/g DCW', '25.66 mg/g DCW', '1.43 g/L', '2.4-times higher than that in CrtB-expressing strain', '1.61 g/L', '17.46 mg/g DCW', '2.53 mg/g DCW', '10.23 mg/g DCW', '7.17 mg/g DCW', '23.23 mg/g DCW', '24.41 mg/g DCW', '1 mg/g DCW']","['Not specified', 'SD-URA-LEU', 'YPD']","['Glucose', 'Glucose, Glycerol']",['N/A'],['30°C'],"['Aerobic', 'N/A']","['5 L fermentor, fed-batch', 'Shake flask']","['ADH1', 'CrtB', 'CrtE', 'CrtE03M', 'CrtI', 'CrtYB', 'CrtYB01M', 'CrtYB11M', 'ERG9', 'GAL80', 'GGPPS', 'HIS3', 'HMG1', 'LPP1', 'MET15', 'PSY1', 'PSY2', 'TPS1', 'URA3', 't422CrtYB', 't521CrtYB', 'tHMG1']"
10.1016.S1096-7176(03)00046-6,"['BH4', 'BH4 (Tetrahydrobiopterin)', 'BP', 'BP (biopterin)']","['718 mg/L', '429 mg/L', '23 mg/l', '4.0 g/L', '2.4 g/L']","['M9', 'NUCA']",['Glycerol'],"['Auto', 'N/A']",['37°C'],"['Controlled', 'N/A']","['Fermentation', 'Tube culture']","['GCHI', 'PTPS', 'SPR', 'folE', 'gmk', 'guaA', 'guaB', 'guaBA', 'mtrA']"
10.1007.s002840010255,"['phenylalanine', 'phenylalanine (phenylalanine)']","['ϳ43% on a weight basis', '970Ϯ51 g/ml', '1024Ϯ34 g/ml', 'ϳ0.39 mol phenylalanine/mol of glucose', '974Ϯ70 g/ml', '954Ϯ67 g/ml']",['MOPS'],['glucose'],['N/A'],['37°C'],['N/A'],['batch'],"['ADPglucose pyrophosphorylase', 'CsrA', 'CsrB RNA', 'DAHP synthase', 'PEP carboxykinase', 'PEP synthetase', 'TktA', 'aroF', 'aroG', 'chorismate mutase', 'csrA', 'glgA', 'glgC', 'glycogen synthase', 'malT', 'pheA', 'pheO', 'tktA']"
10.1002.jctb.4293,"['(3R)-AC', '(3R)-AC ((3R)-acetoin)']","['60.3 g L-1', '9.8 g L-1', '40.3 g L-1', '38.3 g L-1', '23.4 g L-1']","['Initial fermentation medium', 'Optimized medium']",['Glucose'],"['6.0', '7.0']","['35 °C', '37 °C']","['-', '400 rpm', '400 rpm, fed with glucose solution when glucose < 10 g L-1']","['5 L bioreactor, batch', '5 L bioreactor, fed-batch', 'Shake flask, batch']",[]
10.1016.j.ymben.2007.12.002,"['acetate', 'acetate (acetate)', 'ethanol', 'glycerol', 'glycerol (glycerol)', 'xylitol']","['0.015Cmmol/Cmmol', 'over 10 times greater', '0.008Cmmol/Cmmol', '1.5 times higher', '1.3-fold lower', '20.8Cmmolh−1', '5Cmmol/Cmmol']","['Aerobic batch', 'Mixed sugar (10 g/L glucose + 10 g/L xylose)']","['glucose', 'glucose, xylose']",['5.0'],['30°C'],['Normal aeration'],['5-L bioreactor'],"['PHO13', 'XYL1', 'XYL2', 'XYL3']"
10.1016.j.ymben.2011.09.005,"['ethanol', 'ethanol (ethanol)', 'glycerol', 'glycerol (glycerol)']","['2gl−1', '1.8gl−1', '<0.1gl−1', '11±2% higher', '0.38gethanolgglucose−1', '2.96molmol−1', '0.094g biomassgsucroseH2O−1', '0.40gethanolgglucose−1', '0.38gethanolg sucroseH2O−1', '0.09gbiomass gglucose−1']",['synthetic medium'],"['glucose', 'sucrose']","['5.0', 'N/A']","['30°C', 'N/A']","['N/A', 'anaerobic']","['anaerobic chemostat', 'batch']","['AGT1', 'MALx3', 'SUC2', 'URA3', 'iSUC2']"
10.1016.j.ymben.2012.09.003,"['ethanol', 'ethanol (ethanol)', 'xylitol', 'xylitol (xylitol)']","['13g/L', '3g/L', '30g/L', '0.98g xylitol/g xylose', '18g/L', '0.92g xylitol/g xylose', '42g/L', '39g/L', '93g/L', '57g/L', '19g/L', '1.00g xylitol/g xylose']","['Bioreactor', 'Bioreactor, pH-controlled', 'YP medium', 'YP medium with 20g/L cellobiose', 'YP medium with 20g/L glucose', 'YP medium with 20g/L xylose', 'YP medium with 30g/L cellobiose and 30g/L xylose', 'YP medium with 34g/L cellobiose and 30g/L xylose', 'YP medium with 44g/L cellobiose and 40g/L xylose']","['cellobiose', 'cellobiose, xylose', 'glucose', 'glucose, xylose', 'xylose']","['-', '6.0', 'N/A']",['30°C'],"['Limited', 'N/A']","['Batch', 'Bioreactor', 'Flask', 'pH-controlled fed-batch']","['ALD6', 'IDP2', 'SsXYL1', 'SsZWF1', 'XR', 'XYL1', 'cdt-1', 'gh1-1']"
10.1016.j.ymben.2013.04.001,"['bassianolide', 'bassianolide (bassianolide)', 'beauvericin', 'beauvericin (beauvericin)']","['22.3±1.5mg/l', '33.8±1.4mg/l', '36.1±3.4mg/l', '69.3±1.0mg/l', '47.5±0.6mg/l', '29.7±1.9mg/l', '18.2±0.6mg/l', '74.1±0.3mg/l', '42.3±1.4mg/l', '38.5±0.6mg/l']","['DPY medium', 'PDB', 'SC-Ura dropout medium', 'SC-Ura-Trp dropout medium', 'same medium as above']","['Dextrin, Multipeptone', 'Glucose', 'Not specified', 'glucose']",['N/A'],['30°C'],['N/A'],"['Batch', 'Flask', 'batch', 'batch + YP feed', 'same mode as above']","['bbBEAS', 'bbBeas', 'bbBsls', 'bbkivr', 'fvBeas', 'kivr']"
10.1002.bit.24547,"['miltiradiene', 'miltiradiene (miltiradiene)', 'squalene', 'squalene (squalene)']","['852 mg/L', '4.4 mg/g', '488 mg/L', '43.2 mg/L', '6.6 mg/L', '43.6 mg/L', '61.8 mg/L', '5.6 mg/L', '41.6 mg/L', '25.7 mg/L', '0.7 mg/g', '28.2 mg/L', '446 mg/L', '71 mg/L', '78 mg/L', '4.2 mg/L', '11.3 mg/g', '7.2 mg/L', '6.3 mg/L', '8.8 mg/L']","['SD', 'SD with 2% glucose', 'YPD']",['glucose'],"['-', '5.5', '5.5 (assumed)']","['-', '30°C']","['-', '250 rpm', 'ambient', 'controlled']","['5 L fermentor', '5 L fermentor, fed-batch', 'Unbaffled flask, batch', 'not specified', 'shake flask']","['BTS1', 'ERG20', 'ERG20-BTS1', 'ERG20-BTS1-SaGGPS', 'HIS3', 'HphNT1', 'KanMX', 'LEU2', 'SaGGPS', 'SmCPS', 'SmKSL', 'tHMGR', 'tHMGR-upc2.1', 'upc2.1']"
10.1002.bit.24888,"['Ethanol (Ethanol)', 'Glycerol (Glycerol)', 'PHB', 'PHB (polyhydroxybutyrate)', 'ethanol', 'ethanol (ethanol)', 'glycerol']","['0.02 ± 0.01 g/g glc', '0.27 ± 0.01 g/g glc', '0.35 g/g glc', '6.09 AE 1.44 mg/g EtOH', '0.45 reduction', '14.87 mg/gDW', '56.4 mg/g EtOH', '14.50 ± 2.9 mg/g EtOH', '27.86 mg/g DW', '14.50 AE 2.9 mg/g EtOH', '12.5 mg/g EtOH']","['Minimal media', 'aerobic shake flask']","['20 g/L glucose', 'glucose']","['-', '6.5']","['30', '30°C']","['Aerobic', 'Anaerobic', 'aerobic']","['Aerobic', 'Anaerobic', 'shake flask, batch']","['ADH2', 'ALD6', 'Acs', 'ERG10', 'HIS3', 'URA3', 'ack', 'acs L641P', 'ethanol degradation pathway', 'gapN', 'his3D1', 'neo r', 'phaA', 'phaB', 'phaC', 'phosphoketolase pathway', 'xpkA']"
10.1002.bit.24993,"['2-PE', '2-PE (2-phenylethanol)', 'PAA', 'PAA (Phenylacetaldehyde)']","['4.8 g/L', '3.2 g/L', '514.2 mg/L', '6.1 g/L', '173.8 mg/L', '350.0 mg/L', '619.6 mg/L', '4.1 g/L', '84.8 mg/L', '0.65 mol/mol', '449.5 mg/L', '88.3 mg/L', '110.8 mg/L']","['Minimal medium', 'N/A', 'Not specified', 'Production medium', 'SC', 'SC-Leu-Ura', 'SC-Trp']","['Glucose (20 g/L)', 'L-Phe (10 g/L)', 'N/A']","['', 'N/A']","['30°C', 'N/A']","['Aerobic', 'N/A']","['', 'N/A', 'Single phase', 'Two-phase', 'Two-step culture']","['ALD2', 'ALD3', 'ARO10', 'ARO80', 'ARO9', 'ENO1']"
10.1002.bit.25356,"['cetyl alcohol (C16:0)', 'cetyl alcohol (C16:0) (cetyl alcohol (C16:0))', 'myristyl alcohol (C14:0)', 'myristyl alcohol (C14:0) (myristyl alcohol (C14:0))', 'palmitoleyl alcohol (C16:1)', 'palmitoleyl alcohol (C16:1) (palmitoleyl alcohol (C16:1))', 'steary alcohol (C18-0)', 'steary alcohol (C18-0) (steary alcohol (C18-0))']","['14 mg/L', '0.5 mg/L', '0.2 mg/L', '73 mg/L', '51 mg/L', '0.1 mg/L', '84 mg/L', '0.9 mg/L', '1.8 mg/L', '26 mg/L', '1.5 mg/L', '45 mg/L', '38 mg/L', '68 mg/L', '3.4 mg/L']","['N/A', 'minimal selective medium with ura+ marker', 'minimal selective, 6% galactose, 0.1 g/L NH4', 'supernatant from stationary phase culture']","['N/A', 'galactose']",['N/A'],"['30 C', 'N/A']",['N/A'],"['N/A', 'batch']","['Ddga1', 'Dga1', 'FAR', 'dga1']"
10.1186.1475-2859-11-117,"['acetate', 'acetate (acetate)', 'ethanol', 'ethanol (ethanol)', 'farnesol', 'farnesol (farnesol)', 'α-santalene', 'α-santalene (α-santalene)']","['0.0013 Cmmol (Cmmol glucose)-1', '0.043 Cmmol (g biomass)-1 h-1', '0.041 g/l', '0.28-0.25 g biomass (g glucose)-1', '0.086 mg (g biomass)-1 h-1', '0.006 Cmmol (g biomass)-1 h-1', '0.028-0.025 g biomass (g glucose)-1', '0.043 g/l', '0.0024 Cmmol (g biomass)-1 h-1', '0.29-0.28 g biomass (g glucose)-1', '0.0069 Cmmol (Cmmol glucose)-1', '0.006 mg l-1', '0.029-0.028 g biomass (g glucose)-1', '0.0052 Cmmol (Cmmol glucose)-1', '0.041 Cmmol (g biomass)-1 h-1']",['mineral salts medium'],['glucose'],"['-', '5.0']",['30°C'],"['-', 'above 30%']","['chemostat', 'shake flask', 'two-phase chemostat']","['ERG20', 'ERG9', 'GDH1', 'GDH2', 'HXT1', 'SanSyn', 'SanSyn opt', 'UPC2', 'URA3', 'dpp1', 'gdh1', 'lpp1', 'tHMG1', 'upc2-1']"
10.1186.1475-2859-9-84,"['Vanillin β-D-glucoside', 'Vanillin β-D-glucoside (Vanillin β-D-glucoside)', 'ethanol', 'ethanol (ethanol)', 'glycerol', 'glycerol (glycerol)', 'protocatechuic acid', 'protocatechuic acid (protocatechuic acid)', 'protocatechuic aldehyde', 'protocatechuic aldehyde (protocatechuic aldehyde)', 'vanillin', 'vanillin (vanillin)']","['293 mg/gglc', '5.6 mg/gglc', '293 mg/g', '486 mg/gglc', '0.57 mmol/molglc', '0.35 mmol/molglc', '500 mg/l (32 mgVG/gglc)', '32 mg/gglc', '25 g/l', '50% of the total products formed', '9.8 mgVG/gglc', '0.130 mmolethggw-1.h-1', '0.065 mmolethggw-1.h-1', '0.130 mmolethggw-1.h-1 for VG0 and to 0.065 mmolethggw-1.h-1 for VG2', '486 mg/g', '15.3 mgVG/gglc']","['Glucose-limited chemostat', 'Minimal medium']",['Glucose'],['5'],['30°C'],"['Aerobic', 'Limited']","['Batch', 'Continuous, D=0.1 h-1']","['ACAR', 'EntD', 'GDH1', 'GDH2', 'GLN1', 'GLT1', 'HIS3', 'PDC1', 'PDC2', 'PDC3', 'PDC4', 'PDC5', 'PDC6', 'UGT72E2', 'gdh1', 'pdc1']"
10.1186.s12934-015-0252-2,"['tyrosine', 'tyrosine (L-tyrosine)']","['395 μmol/g DCW', '520 μmol/g DCW']",['methionine-supplemented YNB'],['glucose'],['not specified'],['30'],['not specified'],['batch'],"['ALD6', 'ARO1', 'ARO10', 'ARO3', 'ARO4', 'ARO4 FBR', 'ARO7', 'ARO7 FBR', 'CDC19', 'DAHP', 'DAK1', 'DAK2', 'FBR', 'IDP2', 'MDH1', 'MTM1', 'PDC1', 'PDC5', 'PDC6', 'PYC1', 'PYC2', 'Pad1', 'SER3', 'SHB17', 'TAL', 'TYR1', 'TYRC', 'ZWF1']"
10.1186.s13068-015-0281-4,"['2,3-butanediol', '2,3-butanediol (2,3-butanediol)', 'acetaldehyde', 'crotonal', 'ethanol', 'n-butanol', 'n-butanol (n-butanol)']","['150 mg/L', 'approximately 150 mg/L', '&lt;10 mg/L', '<10 mg/L', '40 mg/L', '~2.5 mg/L', '2.5 mg/L']",['YPD'],['Glucose'],['N/A'],['30 °C'],"['Low', 'No']","['Anaerobic cultures', 'Anaerobic fermentation', 'Semi-anaerobic 50 ml vials']","['ACS2', 'ADH', 'ADH1', 'ADH2', 'ALD6', 'Adhe2', 'AtoB', 'Bcd', 'Cct', 'Crt', 'ERG10', 'GCD1', 'HBD', 'Hbd', 'Ter', 'adh1']"
10.1006.mben.1999.0140,"['ethanol', 'ethanol (ethanol)']",['0.8 g/g'],['Minimal medium with 25 g/L glucose'],['Glucose'],['5.00'],['30°C'],['Anaerobic'],['Batch'],"['GDH1', 'GDH2', 'GLN1', 'GLT1', 'URA3']"
10.1016.j.jbiotec.2013.10.017,"['geraniol', 'geraniol (geraniol)']","['6.77 mg L^-1', '36.04 mg L^-1', '1.62 mg L^-1', '0.73 mg L^-1', '1.57 mg L^-1', '0.52 mg L^-1']",['YNB'],['glucose'],['N/A'],['30 °C'],['N/A'],['batch'],"['ERG20', 'ERG20 K197G', 'GES1', 'IDI1', 'MAF1', 'coGES1', 'tHMG1']"
10.1016.j.ymben.2007.03.002,"['ethanol', 'ethanol (ethanol)', 'glycerol', 'glycerol (glycerol)']","['0.36 g (g glucose)⁻¹', '0.1 g (g glucose) À1', '0.46 g (g glucose)⁻¹', '2.070.4% of the glucose consumed', '10-fold higher than in the wild type']","['SD', 'glucose synthetic']",['glucose'],['5.0'],['30 °C'],"['aerobic', 'well-aerated']","['batch reactor', 'shake flask']","['ADH1', 'ADR1', 'ALD2', 'ALD3', 'ALD4', 'ARA1', 'COX3', 'CYT1', 'ETR1', 'FPS1', 'GDH2', 'GIT1', 'GPD1', 'GPD2', 'IDH1', 'INO1', 'JEN1', 'MIP synthase', 'NDE1', 'NDE2', 'NDI1', 'PDC1', 'PDC2', 'PDC5', 'PDH1', 'PHO84', 'SDH2', 'SDH3', 'SLT1', 'TPI1', 'adh1', 'pyruvate decarboxylase', 'tpi1', 'tpi1D']"
10.1016.j.ymben.2007.11.001,"['linalool', 'linalool (linalool)']","['77 mg l^-1', '26 mg l^-1']",['Parellada white must'],['glucose'],['not specified'],['18 °C'],['not specified'],['batch'],"['GES', 'LIS', 'PGK1', 'TDH3', 'TRP-1', 'URA3']"
10.1016.j.ymben.2008.03.001,"['geranylgeraniol', 'geranylgeraniol (geranylgeraniol)', 'taxadiene', 'taxadiene (taxadiene)']","['253734 mg/l', '228715 mg/l', '6.972.1 mg/l', '20471 mg/l', '27.473.4 mg/l', '32073 mg/l', '30671 mg/l', '8.770.85 mg/l', '27.67 3.4 mg/l', '33.175.6 mg/l', '283732 mg/l', '30673 mg/l']","['Buffered YPD', 'SC minimal']",['Glucose'],['N/A'],['28°C'],['N/A'],['Batch'],"['HMG-CoA reductase', 'S. acidocaldarius geranylgeranyl diphosphate synthase', 'T. chinensis geranylgeranyl diphosphate synthase', 'T. chinensis taxadiene synthase', 'UPC2', 'UPC2-1 transcription factor', 'UPC2.1', 'geranylgeranyl diphosphate synthase', 'tHMG-CoA reductase', 'tHMG1', 'tHMGR1', 'taxadiene synthase', 'upc2-1']"
10.1016.j.ymben.2008.06.006,"['ethylene', 'ethylene (ethylene)']","['240 mg/l h', '320 mg ethylene/g glucose', '420 mg/l h', '890 mg ethylene/g glucose']",['YNB w/o amino acids'],"['ammonium sulphate', 'glucose', 'glutamate']",['5.0'],['30°C'],"['ambient', 'controlled aeration']","['bioreactor', 'shake flask']","['CIT1', 'EFE']"
10.1038.nbt.2509,"['2-methyl-1-butanol', '2-methyl-1-butanol (2-methyl-1-butanol)', 'isobutanol', 'isobutanol (isobutanol)', 'isopentanol', 'isopentanol (isopentanol)']","['384 mg l−1 ± 15 mg l−1', '151 mg l−1 ± 34 mg l−1', '57 mg l−1 ± 9 mg l−1', '8 mg l−1 ± 4 mg l−1', '65 mg l−1 ± 17 mg l−1', '28 mg l−1 ± 5 mg l−1', '136 mg l−1 ± 23 mg l−1', '28 mg l−1 ± 1 mg l−1', '491 mg l−1 ± 29 mg l−1', '157 mg l−1 ± 12 mg l−1', '244 mg l−1 ± 13 mg l−1', '67 mg l−1 ± 10 mg l−1', '28 ± 5 mg l−1', '130 mg l−1 ± 21 mg l−1', '19 ± 8 mg l−1', '486 mg l−1 ± 36 mg l−1', '635 mg l−1 ± 23 mg l−1', '28 mg l−1 ± 2 mg l−1', '113 mg l−1 ± 5 mg l−1', '279 mg l−1 ± 16 mg l−1']","['complete media', 'minimal', 'minimal media']",['glucose'],['N/A'],['30 °C'],['N/A'],"['batch', 'shake flask', 'shake flask, low OD']","['ADH', 'ADH7', 'ADHs', 'ARO10', 'Ec-fucO', 'EcFucO', 'EcfucO', 'ILV', 'ILV2', 'ILV3', 'ILV5', 'KID1', 'Ll-adhARE1', 'Ll-kivd', 'LlAdhARE1', 'LlKivd', 'LladhARE1', 'Llkivd', 'Sc-adh7', 'Sc-aro10', 'Sc-kid1', 'α-KDC', 'α-KDCs']"
